Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To
['granny'],"['Dear User, This message is to inform you that your access to bCourses will soon expire. You will have to login to your invoice to continue to have memory access to this service. You need to reactivate it just by logging in through the following URL. A successful login will spark off your account and you bequeath be redirected to your bCourses page. http: / bcourses. berkeley. edu / login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm / If you are not able to login, delight contact Danielle Patel at dapatel @ berkeley. edu (link sends e - mail) for immediate assistance.']",1/25/17,na,na,URL,"expire, login, reactive",Y,"Berkeley Security
University of California, Berkeley
510-643-6957","['Truly,']",dapatel@berkeley.edu,na,B
['Update Portal'],"['The Human Resources / Payroll Department has completed the final paystub changes for 2017 tax year. To view the changes to your paystub information and view / download your W - deuce forms (2014 - 2016 tax years ), go to: Adp Portal site We desire you find the changes to your paystub info useful and welcome any input you may have.']",24 Jan 2017Ê,13:31:49,Tue,ADP portal,"tax, update",Y,na,"['Yours Truly,']",director.stics@boyaca.gov.co,na,NB
['FedEx Shipment Update'],"['Dear Customer, We could non deliver your item. You can review and print complete details of embark obligation on your order. Thanks']",1/3/17,na,Tue,PDF Attachment:  update_Form.pdf,"shipment, update",Na,na,['Thanks'],xxxxxx@berkeley.edu,FedEx,B
['ÊImportant Declaration from Prime minister Nicholas B. Dirks'],"['Good Morning Bishop berkeley Family, Please translate attached for an important announcement from Prime minister St. nicholas B. Dirk']",12/14/16,8:55 AM,Wed,1 attachment: shared Document.pdf,"important, chancellor",Y,"

Chancellor","['Thanks,']",penweltm@miamioh.edu,na,B
['E mail Account Upgrade'],"['Dear User, Someone else was trying to use your Berkeley ID to sign into iCloud via a web browser. Date and Time: 28 October 2016, 1: xxxviii PM Browser: Firefox Operating Organisation: Windows Location: Thailand If the information above looks familiar, you ass disregard this email. If you receive not recently and believe someone whitethorn be sample to admittance your account, you should Click Here <http: / / goo. gl / rk87KW >.']",Ê10/28/2016Ê,4:38 PM,na,Plain url,upgrade,Y,Technical Support Team,"['Truly,']",Êitcsshelp@berkeley.edu,na,B
['Unpredictable Activity'],"['From: BankOfAmerica Subject: Irregular Activity Date: 10 / 20 / 2016 7: 27 AM We have detected atypical body process on your account on the date 10 / 20 / 2016. For your protection, we have impermanent limited your account. In order to find full access to your account, you must verify this activity before you can continue using your account. We have sent you an attachment, open it and follow the steps to verify your account. In one case completed, please countenance up to 48h to update. Copyright © 2016 BankOfAmerica, All rights reserve IrregularActivityFile. html']",10/20/16,7:27 AM,na,Plain url,"protection, update, irregular activity",Y,"Copyright © 2016 BankOfAmerica, All rights reserve",['atomic number 11'],na,na,B
['Messages bear Locky malware'],"[""Hello, Please contract the attached declaration with our technical overhaul ship's company for 2016 ð 2017. We would appreciate your quick response.""]",24 Aug 2016Ê,20:29:58,Wed,na,financial,Y,(Digital-Signature: f0a0e01386d19b03736165288026cc97e325560c78700e95),"['King compliments,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Messages contain Locky malware'],"[""Hawai'i, The monthly financial statement is confiscate within the electronic mail. Please review it before processing.""]",8/24/16,8:44:09,Wed,na,financial,Y,(Topic-ID: b0b82053c611db43b3a1a568c0660cd72365964cb8b04ed5),"['King regard,']",ÊCurtis.8271@brasiltelecom.net.br,na,B
['Life sustaining Info'],"[""Hello, Ê Please refer to the vital information Iodine ' ve shared with you using Google Movement. Ê ClickÊhttps: / / www. google. com / drive / docs / file0116Êand sign in to view details..""]","May 23, 2016Ê",2:56 PM,Mon,URL,vital,Y,"Readmission Representative
Office of the Registrar",['Respect'],na,na,B
['bCourses Phish Attack'],"['Dear User, This message is to inform you that your access to bCourses will soon kick the bucket. You will have to log in to your account to continue to have access to this service. You require to reactivate it precisely by logging in through the following URL. A a successful login will activate your account statement, and you will be airt to your bCourses page. http: / / bcourses. berkeley. cnea. gq / login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm / If you are non able to login, please contact Mary Patel at mpatel @ berkeley. edu (link sends e - mail) for immediate assistance.']",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",['Sincerely yours'],mpatel@berkeley.edu,na,B
['Your account have be Iimited untiI we hear from you'],"['your bill has comprise suspened, as an error cost find in your informations. The reason for the error is not certain, merely for secuirty reasons, we have suspended your account temporarily.']",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,['sodium'],Acces@up.com,PayPal,NB
['ray: Notice from @ rescue. org'],"['Hello Everyone, On that point testament exist additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and lotion use by the IRC globally crataegus laevigata be affected, and you crataegus laevigata experience brief outages. Please upgrade your mailbox (size to 20. 0GB ). by clicking IT SYSTEM AND MAINTENANCE.']",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,['sodium'],Ashley.Mathew@rescue.org,na,NB
['Last Admonisher You Must Update Your Apple Account Info!'],"[""Hello, We ' ve notice that some of your account information appears to be missing or incorrect, we need to verify your bill information in order to carry on using your Orchard apple tree ID. Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >. Wondering why you got this email? When you don ' t regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information. This is to help protect your identity and maintain your account secure. Apple Support""]",3/13/16,1:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,['sodium'],Appel@support.com,na,NB
['Help Desk \x89 ÛÜ Notice.'],['We detected unnamed IP access on our date base computer scheme our security requires you to aver your account for secure security kindly Pawl Here and verify your account. \x89 ÛÜ Help Desk \x89 ÛÜ'],3/4/16,4:00 PM,na,Click Here ,"unknown, notice",Y,Help DeskÛÜ,['sodium'],jjdoe@capousd.org,,NB
['Google Docs Download'],['You have a pending incoming download docs shared with you via Google docs'],2/22/2016Ê,5:45 AM,na,Secure Message,Download,na,na,['atomic number 11'],Google@Googledocss.com,Google Docs,BN
['2015 W - ii statement'],"[""1 ask all our employee ' s mention copies of 2015 Wolfram - 2 earnings and tax statement, i am working on a review and if you can work on the W2 ' s and have it send to pine tree state as an attachment this morning that will be splendid. Via email would be appropriate.""]","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,['Regard.'],President@ucop.edu,na,B
['Your access get make up disabled'],"[""Dear User Your Itunes - idaho has been handicap. You ' ve place your account under the risk of termination by non keeping the correct informations. Please verify your account as shortly as possible. Ready to check? Click here to engender backward your account.""]",2/21/16,4:33 PM,,Click here,"disable account access, termination, ",Y,,"['Truly,']",no_reply@appsupport.com,na,NB
['Dear Electronic mail User'],"['Your password will croak in 2 days, Click Hither to re - commute your password directly.']",2/9/16,5:38 PM,,Click here,"expire, password, immidiately",Y,"
IT- Help Desk","['Thank you,']",jdoe@seedschoolmd.org,na,NB
['Assistance Desk / Password Update'],['Password will expire in 2 daylight ÊClick HereÊTo Validate Due east - chain mail'],2/2/16,5:01 AM,,Click here,"expire, validate",Y,IT-Service Help Desk,"['Thank you,']",John.doe@medford.k12.or.us,na,NB
['Record Update'],['This represent an pressing request to update your employment disc at the Uracil. Sulfur Department of Labor. Update'], 1/18/2016 ,1:57 PM,,UpdateÊ,"update, urgent,employment",Y,"U.S Dept. of Labor
Frances Perkins Building, 
200 Constitution Ave., NW, 
Washington, DC 20210",['Thank you'],records@dol.gov,Department of Labor,NB
['Of import Update'],"['As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the fill physical process to make filling for your refund easier and to prevent unnecessary delays. Part of the changes include updating our database with your information. Please ensure to carefully complete this verification to avoid hitches in processing your refund. We have sent you an attachment, open it and follow the steps to aver your profile.']",Ê1/15/2016,2:58 PM,,na,"update, IRS, TAX",Y,IRS Service,['sodium'],irs@services.com,na,NB
['DHL EXPRESS DOCUMENT'],"['Your parcel (shipping document) arrived at the post office. Hither is your Shipping Document / Invoice and transcript of DHL receipt for your tracking which includes the bill of laden and DHL tracking number, the new Import / Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your finish.']",1/15/2016Ê,6:47 AM,,DHL_EXPRESS.pdf (34Kb) View | Download,"DHL, shipping",Y,DHL EXPRESS,['atomic number 11'],office@korloycompany.ro,na,NB
['IMPORTANT revenue enhancement RETURN DOCUMENT AVAILABLE'],"['Dear: Account Owner, Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you practise not receive a paper W2 but instead receive due east - mail notification that your online W2 (i. e. "" paperless W2 "") is prepared and ready for viewing. __ Your W2 be ready for viewing under Employee Self Service. Logon at the following link: Click Here to Logon If you have trouble logging in to Employee Ego Service at the link above, please contact your Payroll Department for support. If you would like to un - enroll in the Paperless W2 Program, please logon to Employee Self Service of process at the link above and go to the W2 Delivery Choice webpage and follow the instructions.']",1/6/16,5:53:32 AM,,Click Here ,"TAX, W2, important",na,,['sodium'],ÊESSW2@berkeley.edu,na,NB
['Atomic number 75: Ecstasy - PHP - Originating - Script: 1336: np. php'],"[""Lamb Dr. <recipient ' s name removed >; Ane recently read your last article and it was very useful in my field of inquiry. I wonder, if potential, to send me these articles to use in my current research: 1 - http: / / auth. berkeley. eduh. in / <connexion removed> 2 - hypertext transfer protocol: / / www. sciencedirect. com / science / article / pii / S1644966515000825 (link is external) Thanks for you Cooperation in Advance. John Doe Department of Civil and Environmental Engineering University of Alberta Phone: (XXX) XXX - XXXX - - 21878cacb2d3a784678d12d61f1136d7 - -""]",1/2/16,Ê09:58:07 GMT,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,['Thanks for you Cooperation in Advance.'],john.doe@ulberta.ca,na,NB
['Your account on the brink of closure!!'],"['Devout Client, Recently your account was reviewed and flagged because of a possible connexion to some fraudulent dealing. To avoid an eventual limitation to your account, please verify your informations by logging in to our Litigation Manager.']", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,['atomic number 11'],support@ppl.com,Pay.service secure,NB
['ÊURGENT: Your New Wage Notification'],"['Hello, You accept an significant email from the Human Resources Department with regards to your December 2015 Paycheck This email is enclosed in the Marquette University secure network, hence access information technology below Access the text file here <http: / / gabrielramon. be / <connection removed> * * * Ensure your login credentials are right to avoid cancellation * * Faithfully Human being Resources University of California, Berkeley']",12/10/15,7:22 AM,"Thu,",URL,URGENT,Y,"Human Resources
University of California, Berkeley",['Dependably'], HR@berkeley.edu,na,NB
['postulation'],"['Hi, a warm subject matter before it bound off my judgment again. Ace need you to purchase some gift cards from the computer storage today. We intend to reward some staff with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the meter we announce it.']","July 16th, 2019",5.22.48PM EDT,na,,"Request, gift card",Y,na,['sodium'],na,na,B
['Lesson Bus Needed'],['Some hiring clobber for coach'],"July 16th, 2019",12.50pm,Tue,,"Needed, employment hire",Y,Colman,['Attentiveness'],Y,na,B
"['Company from Rockwell kent Admin on 16 July, 2019']",['call leave out'],"July 16th, 2019",5.12pm,Tue,Na,hiring,Y,Kent support,['Regrads'],Y,Microsoft,B
['response AS SOON AS POSSIBLE'],"['Cant, important issue to discuss with late client who is deadened. Asking for replete point information']","July 14th, 2019",11.33am,sun,Email,important,na,,['Attentiveness'],Y,Na,B
['V Thousand 123310719'],['telephone call missed'],"July 10th, 2019",3.29pm,wed,na,missed call,na,na,['sodium'],Y,"Microsoft, Office 365",B
['call for you to join forces on filess'],['some rip up document'],"July 10th, 2019",7.56pm,wed,file ,shared,na,na,['sodium'],na,Microsoft,B
['VM Substance attached'],['call pretermit'],"July 9th, 2019",12.37pm,tue,na,missed call,na,na,['atomic number 11'],na,Office 365,B
['ÊVerification Outgrowth.'],"['account confirmation, microsoft story in kent']","July 8th, 2019",8.55am,mon,na,"verification, access",Y,na,['Sunniness'],Y,na,B
['Sound recording received'],['sound'],7/8/19,2.09 pm,mon,na,audio,Y,kent support,['sodium'],na,na,B
['Atomic number 53 AM ASKING FOR YOUR livelihood.'],['Someone lost lifr in Libyan polite war. Assist kin'],"ÊJuly 5th, 2019",3.18PM,Fri,email,support,Y,na,['atomic number 11'],na,na,B
"['shared "" DOCX "" with you.']",['share docx'],"June 27th, 2019",11.55.54 AM,na,doc file,shared,na,na,['sodium'],na,microsoft word,B
['File have be damaged'],['shared docx'],"june 27th, 2019",4.56am,thur,file ,damaged,Y,na,['sodium'],na,Google Drive,B
['Rockwell kent - Mind set Tocopherol - Slate: # JKf1SB3YW5 for @ m * * * * edu.'],"['confirm with microsift, report']","June 25th, 2019",1.44am,tue,link,confirm,Y,na,['atomic number 11'],na,Microsoft,B
['Faculty Rating. docx'],['staff evaluation'],"June 25th, 2019",10.49am,tue,file ,evaluation,Y,ITS service,['sodium'],na,microsoft ward,NB
['Lose Call'],['called leave out'],"ÊJune 21st, 2019",1.54pm,fri,na,na,na,na,['sodium'],na,na,B
['TESTi1'],"['english speaking editor program, professional guide, discipline']","juen 20, 2019",5.24.03om EDT,na,na,"editor, service",Y,na,"['Best Esteem,']",na,na,NB
['ÊClustered Alert ID 130423046'],['some pending content'],"June 20th, 2019",11.39am,thur,access message,alert,Y,na,"['Good Regards,']",Y,microsoft,B
['Approve Job Offer'],['selected for shadow shopper recapitulation'],"June 20th, 2019",11.39am,thur,apply here now,"approve, offer, ",Y,na,['Warm Respect'],na,shadowshopper,B
"['Agriculture Section shared "" Document "" with you.']",['internal dept shared text file'],"ÊJune 20th, 2019",10.24.01 am,thur,open,"shared, document",Y,na,['sodium'],na,Microsoft,B
['Advertise While Drive Your Car'],['job opportuniies and looking for candidate'],"June 19th, 2019",1.27pm,wed,na,"hiring, ",na,na,['atomic number 11'],na,na,B
['Payroll Changes score embody successful'],['chnages in paysheet entropy'],"ÊJune 17th, 2019",4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",na,na,['Thank you'],na,na,B
['Office 6 / xvii / 2019 xi: 56: 18 be'],['office 465 subscription exrired and. Validation stuff'],"June 17th, 2019",5.57am,mon,confirm now,"expire, request,subscritption, validation",Y,na,['atomic number 11'],na,Office 365,B
