Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,email_text
['( 1) Your account has been circumscribe. gem state: # R5131. 6D9R406MH'],['agency account get limited for payment weakness'],"April 30th, 2019",5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,Y,"['Secure Regards,']",Y,office 365,B,  your account has been circumscribe gem state  r drmh agency account get limited for payment weakness
['ADVICE OF DEBIT - BANK CONFIDENTIAL'],['schedule payment in cant in personal checkin business relationship'],"April 29th, 2019",12.03pm,mon,URL Redacted,"payment,account, confidential",Y,Y,"['Respectfully yours,']",Y,na,B,advice of debit  bank confidential schedule payment in cant in personal checkin business relationship
['Content - Metre 0: 55 Second'],['ausio attached with link'],"ÊApril 26th, 2019",1.23,fri,play,na,Y,Y,['sodium'],Y,na,B,content  metre   second ausio attached with link
['ÊKent Admin # O38A3S #'],['mandatory explanation brushup process'],"April 26th, 2019",2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,Y,['atomic number 11'],Y,Microsoft,B,kent admin  oas  mandatory explanation brushup process
['Invoice for Service'],['invoiced for fill in work'],"ÊApril 26th, 2019",12.00pm,fri,URL Redacted,"invoice, payment",Y,Y,['sodium'],Y,na,B,invoice for service invoiced for fill in work
['P_nd_ng Text file'],['onedrive pending md'],"ÊApril 25th, 2019",10.20am,thur,view document,document,y,Y,['sodium'],Y,na,B,pndng text file onedrive pending md
['Ê [IMPORTANCE] Login Revaluation Required On Kent E mail Account'],['verify password for login interruption'],"ÊApril 25th, 2019",10.15.29am EDT,na,confirm now,"verify, account,interruption",Y,Y,['sodium'],Y,Microsoft,B, importance login revaluation required on kent e mail account verify password for login interruption
"['Rockwell kent Postulation Created on 23 April, 2019 idaho: # 5KGI6T #']","['Due to request, you created idaho, we need to validate']","ÊApril 23rd, 2019",10.57am,Tue,confirm now,"validate, request,",Y,Y,['sodium'],Y,Microsoft,B,rockwell kent postulation created on  april  idaho  kgit  due to request you created idaho we need to validate
"[""RE: You ' re about to lose access to your Berth subscription""]",['subscription offcie 365'],"April 22nd, 2019",2.03am edt,na,renew now,"subscription, disable, access, admin, payment",Y,Y,['atomic number 11'],Y,Office365,B,re you  re about to lose access to your berth subscription subscription offcie 
['( 1) Break down to litigate your Credit Card'],['credir card physical process failure'],"April 17th, 2019",5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,Y,"['Dependable Regards,']",Y,offcie 365,B,  break down to litigate your credit card credir card physical process failure
['Easy means to claim $ 1000?'],['clain money by watching videos'],"April 17th, 2019",12.47pm EDT,na,click here to watch the instructional video,"clain, money, ",Unknown,Unknown,['nan river'],Unknown,Unknown,Unknown,easy means to claim   clain money by watching videos
['The Dwyer Grouping N0TlFlCATl0N'],['shared written document'],"April 16th, 2019",11.55am,tue,open,"notification, share",Y,Y,['sodium'],Y,na,B,the dwyer grouping ntlflcatln shared written document
"['ÊJason Fine tune share "" Proposal_ (1) "" with you.']",['commerce department shared'],"April 16th, 2019",12.52pm,tue,open,"share, doc, education",Y,Y,['atomic number 11'],Y,Microsoft,B,jason fine tune share  proposal   with you commerce department shared
"['Kent Service of process U_d_t_ 15 Apr, 2019 RefID: XYO2OH']",['validating explanation'],"April 16th, 2019",3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,Y,['sodium'],Y,na,B,kent service of process udt  apr  refid xyooh validating explanation
['ÊKent Request Make'],['validating email report'],"April 16th, 2019",4.23am,tue,confirm now,"validate, account, request",Y,Y,['sodium'],Y,na,B,kent request make validating email report
['NEED URGENT quotation mark'],['cargo need to shio from your country to china asap'],"  April 15th, 2019",5.10am,mon,na,urgent,na,na,['atomic number 11'],na,na,B,need urgent quotation mark cargo need to shio from your country to china asap
['Paysheet'],['confiscate papers for payroll'],"ÊApril 11th, 2019",7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,Y,['atomic number 11'],Y,na,B,paysheet confiscate papers for payroll
['ÊCoaching servicing'],['coaching service useable'],"April 10th, 2019",11.30am,wed,na,service,Y,Y,['Thanks'],Y,na,B,coaching servicing coaching service useable
['subject matter ALERT'],['doc and audio recording'],"April 10th, 2019",10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,Y,['sodium'],Y,SharePoint,B,subject matter alert doc and audio recording
['A document deliver been sent to you via eÄ_x Online'],['Document sent online'],"April 9th, 2019",11.35am,tue,clickhere,"share, sent, access, document",na,na,['sodium'],na,eFax,B,a document deliver been sent to you via ex online document sent online
['ÊInitial Ending Revelation - Escrow # 7258300 / 3061 Vaughn Street'],['encrypted content'],"April 9th, 2019",2.28pm,tue,click here to open,encrypted,na,na,['atomic number 11'],na,na,B,initial ending revelation  escrow     vaughn street encrypted content
['Server Notification for Rockwell kent Qui vive'],['waiter detect undelivered emals. Malfucntions and termination'],"April 8th, 2019",5.55am,mon,na,"active, termination, alert, notification, required, malfunction",Y,Y,['sodium'],Y,na,B,server notification for rockwell kent qui vive waiter detect undelivered emals malfucntions and termination
['message notice'],['pdf'],"April 8th, 2019",8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,Y,['atomic number 11'],Y,na,B,message notice pdf
"['[ IMPORTANCE] Parole Verification Required On kent. edu April 5, 2019, 7: xxix PM Account Refrence Acc ID: 35878U9LC8']","['nonpareil clip confirmation, avoid login interruption, password check']","April 5th, 2019",3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,Y,['atomic number 11'],Y,Microsoft,B, importance parole verification required on kent edu april    xxix pm account refrence acc id ulc nonpareil clip confirmation avoid login interruption password check
['ÊMarch Program line - Kent'],['payroll has comprise submitteed.'],"April 5th, 2019",5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,Y,['atomic number 11'],Y,na,B,march program line  kent payroll has comprise submitteed
['ÊRE: Your Bureau 365 Business Essentials Poster follow ready'],"['office365 exist ready. Payment, deferred payment calling card']","April 4th, 2019",11.46am,thur,Sign in to customer portal,"account, payment,",Y,Y,['Thank you'],Y,offcie 365,B,re your bureau  business essentials poster follow ready office exist ready payment deferred payment calling card
['[ Important] Login Review article On Kent User'],['microsoft parole review'],"ÊApril 2nd, 2019",12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,Y,['atomic number 11'],Y,Microsoft,B, important login review article on kent user microsoft parole review
['New Fax Subject matter Facsimile. com Report [11 ]'],['see attachment'],"April 1st, 2019",1.30pm,mon,na,doc,Y,Y,['atomic number 11'],Y,na,B,new fax subject matter facsimile com report   see attachment
['Task'],['resume attach'],"March 30th, 2019",11.44am,sat,na,"job, employment",Y,Y,['atomic number 11'],Y,na,B,task resume attach
['From The Desk Of Mr William 100. Dudley'],"['union reserve savings bank, record book of great payment with federal government,']","March 30th, 2019",11.18am,sat,na,"payment, bank, federal, requested",Y,Y,"['Truly,']",Y,na,B,from the desk of mr william  dudley union reserve savings bank record book of great payment with federal government
['New facsimile from: Fax Serve. ...'],['fresh fax'],"March 29th, 2019",8.57am,fri,fead your fax,"enclosed, processed, received",na,na,['sodium'],na,na,B,new facsimile from fax serve  fresh fax
['ÊMake Rockwell kent State Home'],['content'],"ÊMarch 27th, 2019",5.41am,wed,read this message,doc,Y,Y,['Yours in Servic'],Y,na,B,make rockwell kent state home content
['tercet / xxvi * * * Due'],['pdf file'],"March 26th, 2019",1.52pm,tue,file ,shared doc,na,na,['atomic number 11'],Y,Premier1,B,tercet  xxvi    due pdf file
['Kennard personify inviting you to collaborate on Past Due Invoice 100219'],['invoice referable'],"ÊMarch 26th, 2019",9.09pm,tue,open,"invoice, payment",Y,Y,['Thanks'],Y,Microsoft,B,kennard personify inviting you to collaborate on past due invoice  invoice referable
"[""ÊI ' One thousand SORRY, Excuse insideÉ""]","['internet business organization, approach']","March 24th, 2019",7.09pm EDT,na,follow this link,"access, hidden, serious, ",Y,Y,['sodium'],Y,na,B,i  one thousand sorry excuse inside internet business organization approach
['Rhenium: Berth 365 - Check Your Account before personify be deleted'],['offcie 365 essentials be ready'],"ÊMarch 22nd, 2019",9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",na,ba,['atomic number 11'],Y,Office 365,B,rhenium berth   check your account before personify be deleted offcie  essentials be ready
['us post office # 0210 -'],['Hither is the leverage order in relation to client request'],"March 22nd, 2019",10.07am,fri,#DownloadPO,"request, gift card",na,na,['Thank you'],Y,na,B,us post office    hither is the leverage order in relation to client request
